"CSED3","Cruzeiro do Sul Educacional","1.153.600","3,85","+0,52%"
"KEPL3","Kepler Weber","1.135.200","9,69","-1,32%"
"SAPR4","Sanepar","1.104.200","5,65","+0,53%"
"IRBR3","IRB Brasil RE","1.103.400","31,47","+1,45%"
"OIBR3","Oi","1.096.500","0,59","-1,67%"
"CSMG3","COPASA","1.084.800","20,28","-0,54%"
"EGIE3","Engie","1.084.500","43,80","-0,64%"
"JALL3","Jalles Machado","1.064.000","6,54","+1,08%"
"GRND3","Grendene","1.035.400","6,23","-0,80%"
"FESA4","Ferbasa","1.019.000","7,75","-0,26%"
"MILS3","Mills","960.200","11,50","-2,21%"
"TUPY3","Tupy","909.500","22,79","-1,47%"
"KLBN3","Klabin","871.200","4,01","-0,50%"
"ZAMP3","Zamp","848.800","3,14","+0,64%"
"PSSA3","Porto Seguro","814.200","30,02","-0,46%"
"RCSL3","Recrusul","813.300","5,21","+2,96%"
"TRIS3","Trisul","715.300","4,92","+1,23%"
"ODPV3","Odontoprev","712.300","11,45","-0,95%"
"OPCT3","OceanPact","709.600","6,30","+1,29%"
"SEER3","Ser Educacional","704.700","4,60","+0,00%"
"MDIA3","M. Dias Branco","685.200","31,70","+1,57%"
"POSI3","Positivo","661.100","9,11","-0,22%"
"EVEN3","Even","651.000","6,44","-2,72%"
"ITUB3","Itaú Unibanco","643.800","27,24","-0,51%"
"MBLY3","Mobly","635.900","2,09","-0,48%"
"ABCB4","Banco ABC Brasil","633.000","21,10","-0,66%"
"NGRD3","Neogrid","620.900","0,89","-3,26%"
"CAML3","Camil Alimentos","571.100","9,70","-2,02%"
"DASA3","Dasa","570.700","3,77","-0,26%"
"ESPA3","Espaçolaser","556.100","1,12","-0,88%"
"ARML3","Armac","555.500","10,71","+1,04%"
"NEOE3","Neoenergia","543.900","19,02","-0,89%"
"PTBL3","Portobello","516.300","4,15","-1,19%"
"RANI3","Irani","513.100","8,34","-0,60%"
"TASA4","Taurus","497.300","10,93","+1,96%"
"BRIT3","Brisanet","494.100","3,98","+1,53%"
"LAVV3","Lavvi Incorporadora","480.300","8,48","-1,17%"
"SGPS3","Springs","465.400","0,44","+0,00%"
"PNVL3","Dimed","455.700","10,37","-1,24%"
"AZEV3","Azevedo & Travassos","440.900","1,18","+0,85%"
"MDNE3","Moura Dubeux","434.700","11,05","-2,21%"
"SHUL4","Schulz","412.500","5,99","+0,67%"
"VULC3","Vulcabras","395.600","14,75","-0,07%"
"INTB3","Intelbras","393.500","22,55","-1,05%"
"AERI3","Aeris Energy","383.900","7,32","-5,55%"
"PORT3","Wilson Sons","378.200","15,16","-0,66%"
"VLID3","Valid","358.200","15,79","-1,19%"
"PRNR3","Priner","354.300","11,25","-1,40%"
"BMOB3","Bemobi","354.100","12,84","-0,08%"
"LEVE3","Mahle Metal Leve","345.200","31,28","-1,36%"
"BIOM3","Biomm","341.400","16,50","-12,65%"
"BMGB4","Banco BMG","339.300","3,35","-0,89%"
"CMIG3","CEMIG","330.300","12,39","-0,24%"
"AGRO3","BrasilAgro","320.900","24,65","-2,68%"
"VITT3","Vittia","311.000","5,24","-1,13%"
"POMO3","Marcopolo","308.800","4,84","-0,21%"
"SOJA3","Boa Safra Sementes","307.100","15,56","-1,71%"
"SANB4","Banco Santander","305.600","14,29","-0,69%"
"HBOR3","Helbor","293.600","2,25","-2,60%"
"TAEE4","Taesa","285.900","11,40","-0,70%"
"ORVR3","Orizon","276.900","40,38","-2,04%"
"SHOW3","Time For Fun","271.200","1,70","+0,00%"
"TGMA3","Tegma","270.900","23,88","+0,17%"
"WIZC3","Wiz Soluções","270.800","5,91","-0,51%"
"USIM3","Usiminas","260.400","6,78","-1,60%"
"FIQE3","Unifique","258.500","3,57","-4,03%"
"JSLG3","JSL","253.600","10,07","+1,72%"
"TFCO4","Track & Field","250.900","11,40","+2,24%"
"LPSB3","Lopes","243.900","1,99","-5,69%"
"HBRE3","HBR Realty","235.800","4,46","-1,33%"
"PGMN3","Pague Menos","230.300","2,31","-0,86%"
"RCSL4","Recrusul","228.300","1,15","+0,88%"
"SAPR3","Sanepar","221.400","5,24","+0,00%"
"TECN3","Technos","216.900","4,14","+3,50%"
"PFRM3","Profarma","215.400","5,40","+0,00%"
"SYNE3","SYN","210.200","8,88","-0,89%"
"WEST3","Westwing","205.500","1,00","-1,96%"
"AMAR3","Lojas Marisa","188.700","1,68","+0,00%"
"UNIP6","Unipar","179.600","47,89","-1,84%"
"SANB3","Banco Santander","173.800","12,61","-1,71%"
"LUPA3","Lupatech","162.800","1,55","-1,90%"
"FRAS3","Fras-le","162.200","17,44","-0,34%"
"BLAU3","Blau Farmacêutica","162.200","10,40","-0,57%"
"LOGG3","LOG CP","156.100","21,88","+0,00%"
"AGXY3","AgroGalaxy","151.900","1,19","-3,25%"
"ALPK3","Estapar","151.200","3,12","-4,29%"
"ROMI3","Indústrias ROMI","146.900","10,07","-0,89%"
"RPMG3","Refinaria de Manguinhos","137.200","2,11","-15,60%"
"MELK3","Melnick","134.800","3,77","+0,27%"
"TAEE3","Taesa","133.200","11,28","-0,88%"
"ITSA3","Itaúsa","131.700","9,86","+0,00%"
"DMVF3","D1000 Varejo Farma","128.900","6,96","-1,28%"
"PINE4","Banco Pine","125.200","4,17","+0,48%"
"ETER3","Eternit","119.300","6,12","-0,33%"
"SEQL3","Sequoia Logística","117.000","5,62","+0,72%"
"BRAP3","Bradespar","113.700","17,77","-1,44%"
"ALLD3","Allied","108.200","7,15","-0,83%"
"RAPT3","Randon","88.800","7,86","-1,26%"
"RNEW4","Renova Energia","86.700","0,97","-1,02%"
"TCSA3","Tecnisa","82.900","2,10","+0,48%"
"PDTC3","Padtec","79.700","1,85","-1,60%"
"EUCA4","Eucatex","74.100","13,74","-0,15%"
"GGBR3","Gerdau","71.500","15,38","-1,98%"
"VIVR3","Viver","62.200","2,59","-1,89%"
"CSUD3","CSU Cardsystem","55.200","17,80","-1,33%"
"CTNM4","Coteminas","55.000","0,89","+2,30%"
"DESK3","Desktop","47.600","15,60","-2,26%"
"VSTE3","LE LIS BLANC","41.400","15,26","-9,70%"
"TASA3","Taurus","41.200","11,37","-0,35%"
"RSID3","Rossi Residencial","39.400","5,52","-0,36%"
"CAMB3","Cambuci","39.100","10,46","+1,06%"
"UCAS3","Unicasa","37.000","2,28","-0,87%"
"LAND3","Terra Santa","36.100","15,80","-0,63%"
"ELMD3","Eletromidia","35.700","18,35","-0,76%"
"GOAU3","Metalúrgica Gerdau","34.300","10,52","-0,85%"
"DEXP3","Dexxos","34.200","10,60","+1,73%"
"NINJ3","GetNinjas","30.600","4,49","-1,32%"
"INEP4","Inepar","26.500","1,76","-2,22%"
"BMEB4","Banco Mercantil do Brasil","24.500","26,01","+0,39%"
"IGTI3","Jereissati Participações","24.400","2,90","-0,68%"
"IGTI3","Iguatemi","24.400","2,90","-0,68%"
"COCE5","Coelce","23.800","33,40","+4,05%"
"LOGN3","Log-In","23.000","35,05","+0,46%"
"ALUP4","Alupar","22.900","9,83","+1,97%"
"WHRL4","Whirlpool","21.800","4,65","-0,21%"
"INEP3","Inepar","19.500","1,82","-2,67%"
"OIBR4","Oi","17.700","1,71","+0,59%"
"JFEN3","João Fortes","16.700","1,31","+0,00%"
"ALUP3","Alupar","15.800","10,25","+3,96%"
"RNEW3","Renova Energia","15.400","0,98","-2,00%"
"SCAR3","São Carlos","13.600","23,00","-3,36%"
"AALR3","Alliança","13.200","10,10","+1,51%"
"PMAM3","Paranapanema","13.000","2,56","+0,39%"
"BEES3","Banestes","12.100","8,71","+1,28%"
"HAGA4","Haga","11.300","1,22","+0,83%"
"FRIO3","Metalfrio","10.500","332,24","-2,28%"
"TPIS3","Triunfo","10.300","4,22","-1,17%"
"LVTC3","WDC Networks","10.000","3,75","-0,53%"
"DOTZ3","Dotz","9.100","8,00","+1,52%"
"CTSA4","Santanense","8.500","1,03","-1,90%"
"EPAR3","Embpar Participações","8.400","6,45","+3,20%"
"FHER3","Fertilizantes Heringer","8.300","3,82","-1,04%"
"NUTR3","Nutriplant","7.000","5,66","+4,81%"
"PTNT4","Pettenati","5.900","6,53","+0,31%"
"BOBR4","Bombril","5.800","2,09","-2,34%"
"GOLL11","GOL","5.800","0,66","-1,49%"
"EALT4","Electro Aço Altona","5.700","11,57","-3,50%"
"CEBR3","CEB","5.400","21,69","-3,13%"
"APER3","Alper","4.800","45,39","+0,04%"
"OSXB3","OSX Brasil","4.800","4,13","+1,98%"
"UNIP3","Unipar","4.600","48,41","+0,64%"
"HOOT4","Hotéis Othon","4.600","2,70","-1,46%"
"ENGI4","Energisa","4.200","7,98","-1,36%"
"ATMP3","Atma","4.200","2,37","+0,00%"
"HAGA3","Haga","4.000","2,50","-0,79%"
"CLSC4","Celesc","3.800","72,65","-0,30%"
"BRSR3","Banrisul","3.600","11,67","+1,92%"
"REDE3","Rede Energia","3.500","6,83","+0,00%"
"EQPA3","Equatorial Energia Pará","3.500","6,76","-0,15%"
"BAHI3","Bahema","3.400","6,58","+6,13%"
"RDNI3","RNI","3.200","3,26","-0,31%"
"CRPG5","Tronox Pigmentos","3.000","29,93","+0,47%"
"ALPA3","Alpargatas","3.000","9,78","+0,10%"
"CEBR6","CEB","2.900","19,50","+0,10%"
"OFSA3","Ourofino Saúde Animal","2.800","19,86","-0,60%"
"MNDL3","Mundial","2.800","11,62","+1,48%"
"TELB4","Telebras","2.800","8,95","-3,66%"
"ATOM3","ATOM","2.800","2,00","+0,00%"
"CGRA4","Grazziotin","2.700","25,00","+0,00%"
"RSUL4","Metalúrgica Riosulense","2.400","69,29","+3,31%"
"BPAC3","Banco BTG Pactual","2.200","16,14","+0,69%"
"MTSA4","Metisa","2.100","45,40","-0,15%"
"EMAE4","EMAE","2.000","47,15","-1,81%"
"BRKM3","Braskem","1.900","18,81","+0,80%"
"SNSY5","Sansuy","1.800","5,99","-1,80%"
"CRPG6","Tronox Pigmentos","1.600","31,00","+3,40%"
"WHRL3","Whirlpool","1.600","4,55","-0,22%"
"MAPT4","Cemepe","1.500","5,30","-7,99%"
"ENGI3","Energisa","1.400","14,36","+0,21%"
"PINE3","Banco Pine","1.400","5,67","-5,97%"
"CEEB3","COELBA","1.200","39,15","-2,08%"
"EKTR4","Elektro","1.100","39,10","-1,11%"
"TRPL3","Transmissão Paulista","1.100","33,00","-0,60%"
"FIEI3","Fica","1.100","9,50","-5,00%"
"BEES4","Banestes","1.100","9,41","+0,00%"
"DOHL4","Döhler","1.100","4,19","+0,00%"
"CEBR5","CEB","1.000","18,50","+0,05%"
"BPAC5","Banco BTG Pactual","1.000","8,10","+1,76%"
"BAZA3","Banco da Amazônia","900","95,17","-0,35%"
